time,high,low,open,volumefrom,volumeto,close,ret_holding,15SMA,SMA_ret_holding1,buy_signal,sell_signal,hold_signal,close_ret,12EMA,50EMA,100EMA,minusDI,plusDI,MACD,RSI,StoOsci,StoOsci_signal,BB_hband,BB_lband,ATR,ADI,MFI
2014-09-01,0.000272,0.00012409999999999998,0.0002746000000000001,5000.0,0.6205,0.00012409999999999998,-0.03545527800161152,0.00012881999999999981,0.006934740982248888,1,0,0,-0.0800593031875465,0.00013254011799646685,0.0001802585676069907,0.00028783018114563776,8.519315427799148,40.25501146239108,3.6767896833077144e-06,41.60042527268233,-11.494252873563331,5.181457911959552,0.0001471067742362539,0.0001137503686208901,4.214047559747857e-05,-0.6205,100.0
2014-09-02,0.00012930000000000005,0.0001197,0.00012409999999999998,10000.0,1.197,0.0001197,-0.19791144527986637,0.00012971333333333313,-0.010479518939199295,0,1,0,-0.03545527800161152,0.00013056471522777962,0.00017788372181848125,0.0002845008706279024,9.307543282316768,39.40465754449051,2.9100380406509016e-06,40.30407221173761,-67.60563380281747,-19.07049155307116,0.00014662040538720853,0.00011470816604136401,3.9816155911944386e-05,-1.8175000000000001,42.242703352100065
2014-09-03,0.00012,9.601e-05,0.0001197,23816.08,2.287,9.601e-05,1.557025309863556,0.0001283539999999998,0.060405856719177864,1,0,0,-0.19791144527986637,0.0001252486051927366,0.0001746729876295212,0.00028076837814022115,14.177804629391181,37.25900876014834,9.131873201849231e-07,34.13617110943184,-102.08510638297868,-60.39499768645316,0.000152264884767225,0.00010432225808991899,3.868571620394836e-05,-4.1045,21.84356833645603
2014-09-04,0.0002455,6.874e-05,9.601e-05,15045.0,3.694,0.0002455,-0.6257026476578411,0.00013610733333333313,-0.018421735786952498,0,1,0,1.557025309863556,0.0001437488197784694,0.0001774505175264027,0.0002800699944146722,9.861608710376064,47.530959124520166,9.299874224455157e-06,67.71331282376023,-40.84462151394422,-70.17845389991345,0.0002015758396725169,7.158273175605566e-05,4.8548165046523476e-05,-0.41049999999999986,67.4246128201565
2014-09-05,0.0002418,9.189e-05,0.0002455,24130.0,2.217,9.189e-05,0.845685058221787,0.0001335999999999998,0.020259481037924187,1,0,0,-0.6257026476578411,0.00013577053981255103,0.0001740952031136026,0.0002763436578916094,7.652884947121728,36.88535737821089,4.3907871658303145e-06,43.29101408369465,-22.39840637450199,-55.10937809047496,0.00020285348040541138,6.500366245173263e-05,5.6052581828914656e-05,-2.6275,53.25279333135952
2014-09-06,0.0002422,9.205e-05,9.189e-05,40555.0,6.877999999999999,0.0001696,0.34610849056603765,0.00013630666666666647,0.05081678567935044,1,0,0,0.845685058221787,0.00014097507214908166,0.00017391892063855938,0.0002742299220917755,6.176243666717848,29.81959292105788,6.157803526889566e-06,52.60413128688689,-22.270916334661354,-28.50464807436919,0.00020819632014769667,6.611796556659022e-05,6.278525455542076e-05,-2.4007527472527475,73.61912674192774
2014-09-07,0.0002283,0.00017,0.0001696,18640.0,4.256,0.0002283,-0.2706964520367936,0.00014323333333333312,0.011077495927391379,1,0,0,0.34610849056603765,0.00015440967643383832,0.00017605151198606686,0.0002733204186840176,5.707101763999677,27.554523517036017,1.0789433587280703e-05,58.18975613632559,39.8406374501992,-1.60956175298805,0.00022848693817775366,5.805591896510464e-05,6.249345065860498e-05,1.8552472527472528,80.24293997859972
2014-09-08,0.00028539999999999994,0.0001475,0.0002283,129244.92,21.52,0.0001665,-0.0018018018018018944,0.0001448199999999998,0.02324724945909873,1,0,0,-0.2706964520367936,0.0001562697262132478,0.00017567694288857404,0.0002712051628684925,4.7771446502556,29.811717967955474,9.259130524800025e-06,51.330990300506464,21.91235059760956,13.160690571049136,0.00023143391914272606,6.236608085727512e-05,6.787963275441891e-05,-13.734658476041721,36.235771800715845
2014-09-09,0.0001662,0.0001662,0.0001665,3000.0,0.4986,0.0001662,0.414560770156438,0.00014818666666666647,0.041209285585747546,1,0,0,-0.0018018018018018944,0.0001577974606419789,0.0001753052980694143,0.0002691258527126808,4.7752979630974535,29.800193737318924,7.850551066017389e-06,51.29937997137228,36.81274900398406,32.85524568393094,0.00023360133348629565,6.344152365656267e-05,6.305251612910327e-05,-13.734658476041721,35.85677688626549
2014-09-10,0.0002351,0.00016790000000000002,0.0001662,7000.0,1.646,0.0002351,-0.16546150574223728,0.0001542933333333331,0.024671621154511048,1,0,0,0.414560770156438,0.00016969015900475138,0.00017765018834120196,0.0002684520734510435,4.353636748240384,35.998871981106035,1.0990395008950853e-05,57.736575608706126,38.16733067729084,32.297476759628154,0.0002511220766482541,5.963506620888994e-05,6.347019354845304e-05,-12.088658476041722,38.57122621994674
2014-09-11,0.000244,0.0001962,0.0002351,45777.45,8.982000000000003,0.0001962,-0.001529051987767649,0.0001580999999999998,0.024457094665823575,1,0,0,-0.16546150574223728,0.00017376859608094348,0.00017837763193566465,0.0002670213393233001,4.080916063749609,34.91017682053439,9.911913321743037e-06,53.44163633225444,60.717131474103574,45.232403718459494,0.00025694038789098766,6.214532639472778e-05,6.235089400927782e-05,-21.070658476041725,31.350781081415093
2014-09-12,0.0002102,0.0001959,0.0001962,318658.22,62.43,0.0001959,0.19601837672281786,0.0001619666666666665,0.04371269808602607,1,0,0,-0.001529051987767649,0.000177173427453106,0.0001790647836244621,0.0002656129959703634,4.041187830513215,34.21077698223965,8.686773212188056e-06,53.40863937783389,60.478087649402376,53.120849933598926,0.0002617903480014797,6.698108056995011e-05,5.89186872943294e-05,-83.50065847604172,14.053610934603938
2014-09-13,0.0002343,0.000196,0.0001959,171608.24,40.21,0.0002343,0.8553137003841229,0.0001690466666666665,0.11957250463382896,1,0,0,0.19601837672281786,0.00018596213092185893,0.00018123087054114985,0.00026499293664421756,3.817162135180762,35.793443552078976,9.88387899018203e-06,57.06307023409719,60.55776892430278,60.584329349269574,0.00027351056642786937,6.994657642927473e-05,5.7453066773305865e-05,-43.29065847604172,38.27072759568747
2014-09-14,0.0004347,0.0002341,0.0002343,271048.12,117.82,0.0004347,-0.4064872325741892,0.00018925999999999982,0.04336186551128973,1,0,0,0.8553137003841229,0.0002242294953954191,0.00019117083640228126,0.00026835347255225285,2.900755560893186,51.18391998535306,2.285238147972454e-05,70.19974635160563,36.25675246266285,52.43086967878933,0.0003601639306510618,2.612178363465382e-05,6.767784771806973e-05,74.52934152395827,73.96329426719264
2014-09-15,0.0004777,0.000258,0.0004347,153658.86,39.64,0.000258,0.1217054263565891,0.00019746666666666652,0.05580688723835259,1,0,0,-0.4064872325741892,0.0002294249576422777,0.0001937915879159173,0.0002681484532937924,2.254174695235399,44.13762836897192,1.840141082268391e-05,54.39642475972757,43.8512869399428,46.888602775636144,0.00036814596321544746,3.726832249883959e-05,7.853657288106475e-05,34.889341523958265,62.89252208778056
