time,high,low,open,volumefrom,volumeto,close,ret_holding,3_day_high,3_day_low,buy_signal,sell_signal,hold_signal,close_ret,12EMA,50EMA,100EMA,minusDI,plusDI,MACD,RSI,StoOsci,StoOsci_signal,BB_hband,BB_lband,ATR,ADI,MFI
2015-01-25,0.009075,0.005672,0.007494,9060.02,66.62,0.007353,0.0678634570923431,0.007852,0.003773,0,0,1,-0.01881505204163325,0.008058658939533508,0.01426407162132109,0.02041000000242406,48.57548284008,16.700686654935453,0.00016998663920533017,36.12629080999405,-35.09043927648578,-21.461615175159054,0.010211299343526093,0.005522986370759656,0.0019440215548334537,426751.6013738483,65.3190096256857
2015-01-26,0.007946,0.007139,0.007353,1631.53,12.81,0.007852,-0.12862964849719816,0.007852,0.003773,0,1,0,0.0678634570923431,0.008026865256528353,0.014012617832249675,0.020161326735049324,46.813901844305775,16.09503930965698,0.00026005226332353765,38.78278356513277,5.927134312126187,-7.360299873049357,0.009285727306690538,0.006013129836166641,0.0018628057294882067,426761.42713593005,66.95708746854659
2015-01-27,0.008161,0.006842,0.007852,9913.74,67.83,0.006842,-0.1992107570885706,0.006842,0.003773,0,1,0,-0.12862964849719816,0.00784457829398553,0.013731417132945766,0.01989757769079092,45.338250878877304,15.117518903419445,0.00026048807244253343,35.559165566524655,-10.987726475745163,-13.383677146701608,0.0090392217397482,0.005970063974537548,0.001823962463096192,426693.59713593003,54.07640249689721
2015-01-28,0.006851,0.0047350000000000005,0.006842,12049.22,66.02,0.0054789999999999995,-0.020259171381638796,0.0054789999999999995,0.003773,0,1,0,-0.1992107570885706,0.00748064317183391,0.013407792931653775,0.019612061300874267,50.549179882502095,13.66505725174977,0.00018160146376787955,31.726618105003766,-111.95767195767193,-39.00608804043033,0.009230561288637355,0.005516724425648394,0.0018448222871607497,426674.0032985009,47.176041001426526
2015-01-29,0.006783,0.004158,0.0054789999999999995,34297.5,184.11,0.005368,-0.020119225037257937,0.005368,0.003773,0,1,0,-0.020259171381638796,0.007155621145397924,0.01309250693433402,0.019330000681054973,47.26201369045418,12.092705092067675,0.0001366182753610233,31.429529722259616,-134.06537282941773,-85.67025708761163,0.009105110371438234,0.005167461057133229,0.0019005492666492676,426659.6251842152,35.20377852897555
2015-01-30,0.005332,0.004639,0.005368,91119.6,479.29,0.00526,-0.05076045627376424,0.00526,0.003773,0,1,0,-0.020119225037257937,0.0068639871230290125,0.012785349799654256,0.019051386806182596,45.66996684082761,11.685355689408219,0.00011512325933397526,31.124146760234495,-20.328542094455848,-88.78386229384853,0.00895839573324801,0.004861032838180596,0.00181686717617432,427039.32245694246,21.77120398301325
2015-01-31,0.005024,0.004174000000000001,0.00526,101765.41,508.11,0.004993,-0.09793711195673938,0.004993,0.003773,0,1,0,-0.05076045627376424,0.006576142950255318,0.012479767454569777,0.018773002909030466,45.521926257335494,11.07885756946266,9.906758122997126e-05,30.33930035912921,-22.8679042238364,-59.08727304923667,0.008792395610439605,0.004556747246703286,0.0017646623778761542,427510.370315766,15.811875530274207
2015-02-01,0.005182,0.004308,0.004993,16137.69,72.68,0.004504,-0.002442273534635997,0.004573,0.003773,0,0,1,-0.09793711195673938,0.006257351727139116,0.012166992260272923,0.018490448395980356,43.53799720154825,11.383884459692826,7.286952351115081e-05,28.90184279583714,-25.31824611032531,-22.838230809539198,0.008432239430676312,0.004311617712180865,0.001701043636599286,427470.2882105029,15.224072572459619
2015-02-02,0.005398,0.0043159999999999995,0.004504,22950.72,103.12,0.004493,0.01780547518361897,0.004573,0.003773,0,0,1,-0.002442273534635997,0.005985912999886944,0.011866051387321044,0.01821327120002035,41.11785783159788,11.86077206733992,7.202652313693849e-05,28.86870792158537,-25.03536067892505,-24.4071703376956,0.008505213208833637,0.003956929648309253,0.0016568262339850513,427400.90617723117,19.53286351817347
2015-02-03,0.0048259999999999996,0.0036729999999999996,0.004493,23616.43,108.0,0.004573,-0.17493986442160503,0.004573,0.003773,0,1,0,0.01780547518361897,0.005768541769135107,0.011580049372131983,0.01794316681982193,42.00705294079273,11.140857196760086,9.276301736155798e-05,29.501731993121908,-38.10310641110377,-29.48557106678472,0.008533475858266982,0.0036786669988759083,0.001620838645843262,427461.5098199025,18.620846777251572
