time,close,high,low,open,volumefrom,volumeto,ret_holding,3_day_high,3_day_low,buy_signal,sell_signal,hold_signal,close_ret,12EMA,50EMA,100EMA,minusDI,plusDI,MACD,RSI,StoOsci,StoOsci_signal,BB_hband,BB_lband,ATR,ADI,MFI
2014-05-18,6.0,6.0,5.0,5.0,40.0,240.0,0.0,18.0,6.0,1,0,0,0.19999999999999996,3.8903336414684837,2.2233669988407248,2.02395814549403,16.114989697064235,60.11315215786497,0.4171181099655836,78.61551855716851,77.27272727272727,84.8412384716732,6.5618113062607435,-0.2579541634035869,0.6107398563686469,2228.7047701798792,98.91140590434607
2014-05-19,6.0,6.0,5.7,6.0,61.1,366.47,0.16666666666666674,18.0,6.0,1,0,0,0.0,4.214897696627179,2.3714702537881474,2.1026916475634554,15.465821501785559,57.69158396375419,0.40362538108499135,78.61551855716851,93.18181818181816,82.5757575757575,7.052526452715938,-0.12009788128735321,0.588544152342315,2595.1747701798795,99.12553344939681
2014-05-20,7.0,7.0,6.0,6.0,4.69,31.44,0.0714285714285714,18.0,7.0,1,0,0,0.16666666666666674,4.643374974069151,2.552981224227828,2.1996680505820008,13.489766849351364,63.097293730667836,0.4307558758822827,82.02645324184014,81.34328358208955,83.93260967887828,7.704117223112661,-0.00026008025550572356,0.6179338557464354,2626.6147701798795,99.24282361222858
2014-05-21,7.5,7.5,6.65,7.0,5.772,43.02,1.4,18.0,7.5,1,0,0,0.0714285714285714,5.0828557472892815,2.7469819605326187,2.3046251188873077,12.060837045200971,62.64458692858631,0.44903538322703396,83.44805635712183,85.4948805460751,86.67332743666088,8.337816402037852,0.2031835979621599,0.6345100089074043,2669.6347701798795,99.26253020563965
2014-05-22,18.0,18.0,7.5,7.5,0.002658,0.04785,0.0,18.0,8.1,0,1,0,1.4,7.070108709244776,3.34513953070781,2.6154246214835983,4.968491164494721,84.6113467004166,1.0979622168359338,94.06473501054147,33.33756586883372,66.72524333233274,13.37385076529211,-2.495707908149239,1.3391878654140184,2669.6826201798795,99.26257497790537
2014-05-23,18.0,18.0,7.0,18.0,0.04196,0.4385,0.0,18.0,8.1,0,1,0,0.0,8.751630446284041,3.919839941268288,2.920069678483923,4.798458651406502,50.60322714827898,1.4355608118871135,94.06473501054147,30.16316424354009,49.66520355281625,16.567597999018126,-3.439312284732397,2.0292458750273026,2670.1211201798797,99.20441291009834
2014-05-24,18.0,18.0,17.0,18.0,0.8247,14.54,-0.11111111111111116,18.0,8.1,0,1,0,0.0,10.174456531471112,4.472003080826394,3.2186821600981026,4.614518606403026,48.66344594869581,1.5570554887583787,94.06473501054147,93.61022364217253,52.37031791818206,18.960914276109257,-3.5824857046806695,1.9557283125253524,2684.6611201798796,99.2216691484052
2014-05-25,16.0,18.0,16.0,18.0,0.0002818,0.004509,0.0,16.0,5.0,0,1,0,-0.11111111111111116,11.070693988167864,4.924081391382222,3.471777562868437,8.11740959979307,44.90755879520935,1.405547292566912,81.61141053023363,87.22044728434504,70.33127839001916,20.27618437028213,-2.947755798853546,1.9588905759163988,2684.6566111798797,99.22097204558112
2014-05-26,16.0,16.0,12.0,16.0,357.62,5492.94,-0.0006249999999999867,16.0,5.0,0,1,0,0.0,11.829048759218962,5.358431140739782,3.7198611754849034,21.35996846093282,38.43526640482943,1.215300295526636,81.61141053023363,61.66134185303514,80.83067092651751,21.25900248586351,-1.980573914434924,2.1046841062080843,8177.596611179879,12.520800440530536
2014-05-27,15.99,16.0,10.0,16.0,4.348,43.48,-0.4934333958724203,15.99,5.0,0,1,0,-0.0006249999999999867,12.469195103954505,5.775355409730379,3.962834221514905,23.64489516501018,31.10050566525172,1.0073375387210666,81.54880460502656,44.827586206896555,64.56979178142552,21.90798347645879,-0.6809834764587759,2.3829209557646496,8220.931677846545,12.438695503514438
2014-05-28,8.1,15.99,8.1,15.99,3.022,24.48,0.0,15.5,5.0,0,0,1,-0.4934333958724203,11.797011241807656,5.866517942682129,4.044758296336392,23.738648867031046,24.41629494866983,0.2939935213624514,49.36912702577414,17.50687442713107,41.331934162354194,21.588122181543838,0.3531635327418936,2.7762837446386035,8196.451677846546,9.879420319324339
2014-05-29,8.1,8.1,8.1,8.1,27.27,220.92,0.6049382716049383,15.5,5.0,0,0,1,0.0,11.228240281529555,5.954105474341653,4.125060112250522,23.738648867031046,24.41629494866983,-0.1958677102963371,49.36912702577414,17.50687442713107,26.61377835371951,21.50987265417357,0.7314130601121587,2.577977762878703,8196.451677846546,4.907663246727282
2014-05-30,13.0,13.0,8.1,8.1,0.6061,7.879,0.0,15.5,5.0,0,0,1,0.6049382716049383,11.500818699755778,6.230415063583157,4.300801496166353,20.484714452755032,34.77680115955978,-0.20682195140036708,60.57456882854046,17.50687442713107,17.506874427131013,21.64320460723112,1.5982239641974694,2.743836494101653,8204.330677846547,5.004753738907269
2014-05-31,13.0,15.0,13.0,13.0,25.77,334.95,-0.15384615384615385,15.5,5.0,0,0,1,0.0,11.731461976716426,6.495888982658328,4.473062852677911,19.306360695798254,38.52867192991534,-0.2292674930186971,60.57456882854046,58.333333333333336,31.11569406253177,21.528297399172125,2.8559883151136063,2.690705315951535,7869.380677846547,9.725903170901958
2014-06-01,11.0,13.0,11.0,13.0,12.41,160.47,0.40909090909090917,15.5,5.0,0,0,1,-0.15384615384615385,11.6189293649139,6.672520787259963,4.602309132822903,24.071123760374356,36.25364759687263,-0.3848517074374622,54.830267472545565,41.666666666666664,39.168958142376965,21.273080643052914,3.8254907855185305,2.6413692219549967,7708.910677846547,8.205224391283764
2014-06-02,15.5,15.5,11.0,11.0,0.3466,4.977,-0.000645161290322549,15.5,5.0,0,1,0,0.40909090909090917,12.216017154927146,7.018696442661533,4.818104991578886,21.02401017231217,38.697036056918236,-0.2000367113287096,63.270100041786506,36.36363636363637,45.4545454545454,21.25874813975669,5.196966145957608,2.774128563243926,7713.8876778465465,6.0855289247206485
2014-06-03,15.49,15.5,15.4,15.5,1.053,16.23,0.0,15.49,5.0,0,1,0,-0.000645161290322549,12.719706823399893,7.350904425302257,5.029429645210986,20.95968911690586,38.578645979103534,-0.09891613186748849,63.2418211198366,75.23809523809524,51.089466089466036,21.142123832305593,6.526447596265855,2.5831193801550745,7726.871677846547,6.128384747700608
2014-06-04,15.49,15.49,12.0,15.49,2.146,29.25,-0.2253066494512589,15.49,5.0,0,1,0,0.0,13.145905773646064,7.670084643917855,5.236569652236511,28.93676117211927,34.55381542874409,-0.054690872688459624,63.2418211198366,39.3939393939394,50.331890331890285,20.840924841965542,7.969075158034477,2.6478965672868546,7756.121677846547,5.779010265136392
