time,close,high,low,open,volumefrom,volumeto,buy_signal,sell_signal,hold_signal,12EMA,50EMA,minusDI,plusDI,MACD,MACDsignal,RSI,StoOsci,StoOsci_signal,BB_hband,BB_lband,ATR,ADI,MFI
2/20/2013,29.65,29.87,28.99,29.42,37209.36,1096641.18,1,0,0,26.39721977076852,20.64625657490638,17.73190937098165,30.845294380498494,2.8079639886410668,2.4865167710658476,85.43128769619658,91.1170928667564,81.78554198591367,30.289963856365752,21.255750429348524,1.5274796403556459,19501521.225622166,80.26310157793216
2/21/2013,29.75,29.98,29.31,29.65,34730.51,1030860.6,1,0,0,26.91303211372721,21.003266120988485,17.075958376158283,30.311586664911754,2.8674249080536427,2.5626983984634064,85.5952999761236,93.69627507163321,84.14256887604334,30.78726699964593,21.844161571782635,1.466231094615957,19824626.786816195,80.27881880655093
2/22/2013,30.25,31.3,29.67,29.75,66951.69,2039411.78,1,0,0,27.426411788538406,21.365883135851682,15.549344068768786,34.84155553204012,2.921219931433253,2.6344027050573757,86.41859338423316,90.7348242811502,91.84939740651328,31.265034267058265,22.450680018656012,1.47792887357196,19236575.53736834,81.5118598322457
2/23/2013,29.8,30.69,28.0,30.25,72278.17,2099763.39,1,0,0,27.791579205686343,21.696632816798676,22.00052005888752,30.01118332350431,2.8941793379963876,2.6863580316451783,81.88263142878054,63.355048859934854,82.59538273757276,31.5614627900039,23.03282292428181,1.5645053826025346,19946904.41651332,73.03662415637334
2/24/2013,29.89,30.4,29.2,29.8,24274.89,722940.53,1,0,0,28.11441317404229,22.017941333786965,20.609996036785972,28.114352192634378,2.84719107432937,2.7185246401820167,82.08516162507331,81.14901256732495,78.41296190280335,31.74829988953157,23.69170011046842,1.5384692838452108,20055345.49601332,72.62659616461234
2/25/2013,30.4,30.4,29.55,29.89,26778.95,805270.53,1,0,0,28.466041916497325,22.34664951677571,19.650284675899155,26.805197976637153,2.818614046392767,2.7385425214241668,83.22924981848786,81.40043763676154,75.30149968800713,31.99228661008251,24.26914196134605,1.4892929064276956,20860616.026013322,72.92340099221366
2/26/2013,31.1,31.7,30.12,30.4,42864.33,1329295.41,1,0,0,28.8712662370362,22.68991816317666,17.954885064789703,31.591356754356305,2.8199441350875354,2.7548228441568408,84.67581054298428,79.58333333333333,80.71092784580662,32.323717003604834,24.78485442496658,1.495771984540003,21180319.985380415,72.68469248278322
2/27/2013,30.9,31.65,30.79,31.1,30472.78,951289.24,1,0,0,29.183379123646016,23.011882156777574,17.07986580528881,30.0517732095953,2.772895695915775,2.7584374145086277,82.48661625075141,92.15189873417717,84.3785565680907,32.106537380631025,25.959176905083247,1.4503596999300028,20472383.806775764,80.8899874934039
2/28/2013,33.38,34.52,30.9,30.9,126517.41,4136416.34,1,0,0,29.829013104623552,23.418475013374533,13.956574447897378,39.05416344310864,2.902269190058515,2.787203769618605,86.9812984056909,60.19261637239161,77.30928281330073,33.09686777490895,25.848846510805313,1.60533400707786,22003543.446444273,82.11834067316312
3/1/2013,34.5,34.9,32.92,33.38,39786.14,1362290.79,1,0,0,30.547626473143005,23.85304462069318,12.58355531699202,37.10015664570953,3.0599006263235253,2.8417431409595895,88.42595644674988,78.50340136054425,76.94930548903768,34.19997836965216,25.802878773204963,1.6320958637151555,22815413.715232152,82.36126446678969
3/2/2013,34.25,34.81,33.15,34.5,36662.49,1241775.93,1,0,0,31.117222400351775,24.260768361058155,11.54479481135835,34.03757405235087,3.128587357000402,2.899111984167752,86.12848117925371,81.63265306122447,73.44289026472012,34.92692895840493,26.080213898737902,1.6340890163069304,23219364.921376728,76.90822202586833
3/3/2013,34.5,34.5,33.8,34.25,12524.59,427480.57,1,0,0,31.63764972337458,24.662306856702934,11.12242762760271,32.792306853645755,3.166691349901086,2.952627857314419,86.50604893045389,90.47619047619044,83.53741496598639,35.414583069737986,26.691131215976277,1.567368372285007,23646845.491376728,83.8359842159457
3/4/2013,36.15,36.7,34.19,34.5,46771.49,1659027.49,1,0,0,32.33185745824002,25.11280462702831,9.72997643855486,39.660036675357524,3.292081186505307,3.020518523152597,88.69345499763489,69.84615384615383,80.65166579452291,36.17215835026696,27.247841649733008,1.6346992028360783,24578809.14113768,84.73204186989032
3/5/2013,40.33,40.65,36.15,36.15,85425.52,3361374.96,1,0,0,33.5623409262031,25.709557386752692,7.8161567948663455,49.12446639040085,3.6862517857079915,3.153665175663676,92.16047889918988,60.03824091778202,73.45352841337542,38.58955017827514,26.389021250296256,1.839363545490644,27462121.884604342,85.78947690026334
3/6/2013,41.02,49.1,40.14,40.33,126451.72,5712472.93,1,0,0,34.70967309140262,26.309966900997686,5.476408603808178,62.650061816089696,4.008109072425668,3.324553955016075,92.56572870719106,92.02898550724636,73.97112675706074,40.585928190062475,26.016928952794643,2.3479804350984557,22871741.85156863,89.01829438844659
3/7/2013,42.0,45.5,33.3,41.02,157316.08,6439707.76,1,0,0,35.83126184657145,26.925262316644837,21.047237887334845,43.367011504297516,4.292776643815014,3.5181984927758627,93.11046331749533,24.999999999999986,59.02240880834281,42.42363626214896,25.92922088070816,3.0516961183057094,25616535.323044043,69.13728371392264
3/8/2013,44.18,44.5,41.02,42.0,47095.97,2032649.25,1,0,0,37.11568310094508,27.601918696384253,19.207588548538112,39.57648590343098,4.640789394689115,3.7427166731585135,94.13922889745939,77.06821480406389,64.69906677043676,44.565222441069636,25.77763470178748,3.0822892527124446,27275364.021319903,69.80043031561091
3/9/2013,46.85,46.99,43.41,44.18,44475.89,2020839.64,1,0,0,38.6132703161843,28.356745414173105,17.49178913226316,42.254271814452906,5.07355392150285,4.008884122827381,95.10359732987588,79.08814589665651,60.38545356690681,47.021099063947226,25.75747236462417,3.1178400203758416,29138149.164336663,75.56482341384171
