time,high,low,open,volumefrom,volumeto,close
2015-01-26,1.047,0.7545,0.7331,0.0,0.0,0.7548
2015-01-27,0.8791,0.7227,0.7548,0.0,0.0,0.8791
2015-01-28,0.7886,0.7883,0.8791,0.0,0.0,0.7883
2015-01-29,0.7811,0.6423,0.7883,7.198,4.721,0.6559
2015-01-30,0.757,0.6498,0.6559,0.0,0.0,0.757
2015-01-31,0.7512,0.614,0.757,0.0,0.0,0.699
2015-02-01,0.7207,0.6315,0.699,0.0,0.0,0.6315
2015-02-02,0.7409,0.6695,0.6315,9.516,6.371,0.6695
2015-02-03,0.6829,0.6374,0.6695,0.0,0.0,0.6549
2015-02-04,0.7246,0.6351,0.6549,0.0,0.0,0.6351
2015-02-05,0.6106,0.6069,0.6351,0.0,0.0,0.6069
2015-02-06,0.8729,0.625,0.6069,0.0,0.0,0.6254
2015-02-07,0.714,0.6386,0.6254,5.889,4.205,0.714
2015-02-08,0.7014,0.6348,0.714,0.0,0.0,0.6348
2015-02-09,0.7712,0.6253,0.6348,0.0,0.0,0.661
2015-02-10,0.8268,0.659,0.661,0.0,0.0,0.6812
2015-02-11,0.8022,0.6786,0.6812,0.0,0.0,0.6849
2015-02-12,0.8129,0.6942,0.6849,0.0,0.0,0.7097
2015-02-13,0.8044,0.7392,0.7097,0.0,0.0,0.8044
2015-02-14,0.9482,0.7759,0.8044,8.207,6.385,0.778
2015-02-15,0.7061,0.6998,0.778,0.0,0.0,0.6998
2015-02-16,0.8254,0.7075,0.6998,0.0,0.0,0.7075
2015-02-17,0.8952,0.7296,0.7075,0.0,0.0,0.7298
2015-02-18,0.8114,0.7058,0.7298,0.0,0.0,0.8114
2015-02-19,1.039,0.7587,0.8114,0.0,0.0,1.039
2015-02-20,1.198,0.9047,1.039,0.0,0.0,1.076
2015-02-21,1.346,0.9644,0.9649,0.0,0.0,1.196
2015-02-22,1.298,1.013,1.196,0.0,0.0,1.237
2015-02-23,1.383,0.9195,1.237,0.0,0.0,1.029
2015-02-24,1.338,1.029,1.029,0.0,0.0,1.075
2015-02-25,1.543,1.022,1.075,0.0,0.0,1.03
2015-02-26,1.407,1.023,1.03,0.0,0.0,1.023
2015-02-27,1.133,0.9885,1.023,0.0,0.0,1.001
2015-02-28,1.136,1.004,1.001,0.0,0.0,1.136
2015-03-01,1.153,1.059,1.136,0.0,0.0,1.121
2015-03-02,1.19,1.054,1.121,0.0,0.0,1.054
2015-03-03,1.219,0.8897,1.054,0.0,0.0,0.8897
2015-03-04,1.126,0.862,0.8897,0.0,0.0,0.8701
2015-03-05,1.134,0.8725,0.8701,0.0,0.0,0.9826
2015-03-06,1.032,0.864,0.9826,0.0,0.0,0.864
2015-03-07,0.8918,0.8715,0.864,0.0,0.0,0.8715
2015-03-08,1.103,0.8701,0.8715,0.0,0.0,1.007
2015-03-09,1.059,0.815,1.002,0.0,0.0,0.815
2015-03-10,0.9324,0.472,0.815,0.0,0.0,0.6474
2015-03-11,0.9459,0.4789,0.6474,0.0,0.0,0.6355
2015-03-12,0.6318,0.3697,0.6355,0.0,0.0,0.3697
2015-03-13,0.4308,0.2872,0.3697,0.0,0.0,0.2872
2015-03-14,0.3661,0.1774,0.2872,6.246,1.126,0.1803
2015-03-15,0.3533,0.1824,0.1803,0.0,0.0,0.2279
2015-03-16,0.3087,0.2323,0.2279,0.0,0.0,0.2672
2015-03-17,0.4281,0.254,0.2672,0.0,0.0,0.4281
2015-03-18,0.5502,0.3839,0.4281,0.0,0.0,0.3839
2015-03-19,0.3914,0.3298,0.3839,0.0,0.0,0.3757
2015-03-20,0.3885,0.2257,0.3757,0.0,0.0,0.2356
2015-03-21,0.3854,0.2338,0.2356,0.0,0.0,0.3854
2015-03-22,0.3986,0.3986,0.3854,0.0,0.0,0.3986
2015-03-23,0.3939,0.3939,0.3986,0.0,0.0,0.3939
2015-03-24,0.3661,0.3661,0.3939,0.0,0.0,0.3661
2015-03-25,0.3656,0.308,0.3661,0.0,0.0,0.308
2015-03-26,0.3755,0.31,0.308,1.239,0.464,0.3745
2015-03-27,0.3733,0.309,0.3745,0.0,0.0,0.309
2015-03-28,0.3528,0.2566,0.309,0.0,0.0,0.28
2015-03-29,0.3147,0.2663,0.28,16.96,5.337,0.3147
2015-03-30,0.2897,0.2347,0.2302,0.0,0.0,0.2347
2015-03-31,0.2442,0.2322,0.2347,0.0,0.0,0.2442
2015-04-01,0.6668,0.2395,0.2442,0.0,0.0,0.6397
2015-04-02,0.6563,0.2526,0.6397,0.0,0.0,0.5052
2015-04-03,0.514,0.2774,0.5052,0.0,0.0,0.4825
2015-04-04,0.5108,0.3288,0.4825,0.0,0.0,0.3288
2015-04-05,0.4811,0.3375,0.3288,0.0,0.0,0.4154
2015-04-06,0.5199,0.3315,0.4154,0.0,0.0,0.5199
2015-04-07,0.5158,0.3291,0.5199,0.0,0.0,0.3929
2015-04-08,0.4891,0.3182,0.3929,0.0,0.0,0.4402
2015-04-09,0.438,0.3163,0.4402,0.0,0.0,0.3222
2015-04-10,0.446,0.3051,0.3222,0.0,0.0,0.3101
2015-04-11,0.4493,0.3098,0.3101,0.0,0.0,0.31
2015-04-12,0.4446,0.3092,0.31,0.0,0.0,0.4243
2015-04-13,0.4022,0.2951,0.4243,0.0,0.0,0.2951
2015-04-14,0.2877,0.2877,0.2951,0.0,0.0,0.2877
2015-04-15,0.2943,0.2943,0.2877,0.0,0.0,0.2943
2015-04-16,0.3009,0.3009,0.2943,0.0,0.0,0.3009
2015-04-17,0.2293,0.2115,0.2166,15.92,3.65,0.2293
2015-04-18,0.2301,0.2301,0.2293,0.0,0.0,0.2301
2015-04-19,0.2297,0.2297,0.2301,0.0,0.0,0.2297
2015-04-20,0.231,0.231,0.2297,0.0,0.0,0.231
2015-04-21,0.2407,0.2407,0.231,0.0,0.0,0.2407
2015-04-22,0.2408,0.2408,0.2407,0.0,0.0,0.2408
2015-04-23,0.4002,0.3797,0.3771,0.0,0.0,0.4002
2015-04-24,0.3929,0.312,0.4002,0.0,0.0,0.3929
