,time,symbolid,buyret,sellret,Action,mav5,mav10,mav20,mav30,mav50,mav100
200,7/21/2013,BTC,15.999999999999993,-13.793103448275856,Buy,1.1810916521655843,1.2070563067737363,1.1103561678826301,1.1670130962073686,1.2598489758776488,1.3959226679863983
201,7/22/2013,BTC,16.33187772925766,-14.039039039039046,Buy,1.1576857214567342,1.1980213433134566,1.105595074326708,1.154182512123032,1.2457353086011844,1.3888085805330426
202,7/23/2013,BTC,10.914608622854738,-9.840550995376917,Buy,1.1655618422491523,1.1883178329217248,1.110397528193725,1.1429954848321846,1.232906932422926,1.3823075965185863
203,7/24/2013,BTC,8.371016931328201,-7.7244056283357505,Buy,1.1673498238548687,1.183058875614245,1.114160408410192,1.1341918600531857,1.2199581678893912,1.376807201260749
204,7/25/2013,BTC,6.0340381640020535,-5.690661478599212,Buy,1.1790936093226474,1.1744518040482557,1.126138243220588,1.125606500028777,1.2073423099925191,1.3731923859379576
205,7/26/2013,BTC,7.269318891897525,-6.77669902912622,Buy,1.1830523432574527,1.1670823066807168,1.1367666215032879,1.1165208970355858,1.1954350341277078,1.3665148289195832
206,7/27/2013,BTC,11.228813559322038,-10.095238095238091,Buy,1.1840787701453726,1.156174817704706,1.1421733005124404,1.1079136542143375,1.1853519731240236,1.3578796464013132
207,7/28/2013,BTC,8.129175946547896,-7.51802265705458,Buy,1.1858123383719603,1.1608512399850688,1.150224908613551,1.1038037543496098,1.1768997724425045,1.3483416146849128
208,7/29/2013,BTC,8.001576665352772,-7.408759124087583,Buy,1.1951276301116385,1.16625614254378,1.159252723551831,1.1005436891617553,1.1708564636104073,1.3380451699079692
209,7/30/2013,BTC,4.260837347165625,-4.08670931058992,Buy,1.2151266995726933,1.181692682409736,1.164786815495157,1.0984975405771273,1.1645565301728609,1.329027769485611
210,7/31/2013,BTC,3.5589869127200746,-3.436676061460131,Buy,1.2330497461892038,1.1923261233982732,1.1687352594964748,1.099711485471183,1.157391773731265,1.3190552264910742
211,8/1/2013,BTC,4.798076923076922,-4.578401688228273,Buy,1.2495096789820852,1.2008119896820202,1.1684372452364304,1.0992148637414718,1.1499716502563535,1.3071539568830828
212,8/2/2013,BTC,7.8947368421052655,-7.317073170731703,Buy,1.2564670658323787,1.2050361760156592,1.1658247670118373,1.1035048155781306,1.1438872331895251,1.2941311134110447
213,8/3/2013,BTC,8.03239637922819,-7.43517375198447,Buy,1.2579475561134574,1.2102756305145634,1.1657985226352248,1.1074374680990104,1.1388833754441312,1.2827526930942466
214,8/4/2013,BTC,12.72831050228309,-11.29113924050632,Buy,1.2444716366801132,1.2134772308502246,1.1632447135211026,1.115976466068596,1.13404191240464,1.272110489009673
215,8/5/2013,BTC,13.56821589205397,-11.947194719471954,Buy,1.2389806342201508,1.2195688604958623,1.1626602857045147,1.1245423707758857,1.129550592672351,1.2627582880372292
216,8/6/2013,BTC,15.709459459459453,-13.57664233576642,Buy,1.238383918956647,1.2273338322686,1.1611916732552716,1.1303034355368604,1.1246126017910065,1.2527584160134757
217,8/7/2013,BTC,15.105198603641856,-13.12295081967213,Buy,1.2353318346955457,1.229275828893916,1.1643575470492726,1.136008672106959,1.1183657419103026,1.2417180620081314
218,8/8/2013,BTC,15.002426006792824,-13.045312631845418,Buy,1.2246565927687123,1.224865562686332,1.1648679774498243,1.1404455857813776,1.111487772937932,1.2312217310139217
219,8/9/2013,BTC,16.342412451361877,-14.046822742474918,Buy,1.2132133797252524,1.2128206194522617,1.1665788731938806,1.1404795679945048,1.104005230642695,1.2235371990185608
220,8/10/2013,BTC,18.553398058252423,-15.649823929244121,Buy,1.1986826904839902,1.2031541861360648,1.1671523239707804,1.1402313912788595,1.097070538131283,1.21713421958607
221,8/11/2013,BTC,14.352380952380939,-12.551011909719323,Buy,1.1891162375762008,1.198277538229273,1.16897510093443,1.1387233653197308,1.0908489929431684,1.2118330607436547
222,8/12/2013,BTC,22.91920232187996,-18.645746058344116,Buy,1.184899618866316,1.1947764374156191,1.1693959722379472,1.136118603750119,1.0850208602276568,1.2049411401922219
223,8/13/2013,BTC,17.481751824817525,-14.880397639018328,Buy,1.1935449730059522,1.1938053202525825,1.1715060126064667,1.1359176759367269,1.0810591152381819,1.1979312581393886
224,8/14/2013,BTC,14.872068230277202,-12.94663573085848,Buy,1.2091610891839903,1.1958190412978607,1.1740495479747959,1.134993564479153,1.077375433405449,1.191581111488291
225,8/15/2013,BTC,25.493226656968826,-20.314424400492648,Buy,1.218578414790687,1.1933089749075358,1.1758130240664533,1.1339474464349855,1.0731559245411524,1.1854738804047587
226,8/16/2013,BTC,29.36966694192129,-22.702127659574465,Buy,1.2213422282502397,1.190014616208891,1.1780285447928571,1.1321404471122263,1.0693737765263582,1.1790415935066803
227,8/17/2013,BTC,29.498891352549883,-22.779261694404486,Buy,1.2282021503349678,1.191359855424759,1.1796851829780393,1.1346717260609622,1.06785889500833,1.1729431427929957
228,8/18/2013,BTC,27.006526724290005,-21.263888888888893,Buy,1.230195342896519,1.1965986368296446,1.180153236716148,1.1366701722980121,1.0663965106191962,1.1664068234623242
229,8/19/2013,BTC,21.518987341772156,-17.708333333333336,Buy,1.2366092145059848,1.2073839794370194,1.1795849007340315,1.141042110740676,1.0652642064372317,1.160444785259247
230,8/20/2013,BTC,9.331683168316829,-8.535204890196956,Buy,1.254276786649443,1.2206080019551027,1.1812822941032708,1.1453932898090282,1.0666458646091546,1.1547662168767232
