,Date,symbolid,buyret,sellret,Action,mav5,mav10,mav20,mav30,mav50,mav100
200,2004-09-06,GBPUSD=X,1.7517924292506537,-1.7216329928228857,Buy,0.9845529575425283,0.9859828539682485,0.9960103198243324,0.9991249408883682,1.0056608134867302,0.9993042443997744
201,2004-09-07,GBPUSD=X,2.1800551098281273,-2.1335427031086374,Buy,0.9814069071437006,0.984909197030082,0.9944326143994415,0.9981217803999071,1.0051628768697047,0.9991246834351275
202,2004-09-08,GBPUSD=X,0.7219400628620365,-0.716765445950962,Buy,0.9805871423687633,0.9842538249384922,0.9930820742821188,0.9973081290308192,1.0046379652512765,0.9990601694510048
203,2004-09-09,GBPUSD=X,1.285279681306073,-1.2689698694126172,Buy,0.9802031251529655,0.9837431280341173,0.9919778006879798,0.9965993748411877,1.0041114553020507,0.9989501325317007
204,2004-09-10,GBPUSD=X,-0.05577421442518604,0.05580533941484944,None,0.9826742230234123,0.9841024601447671,0.9906236392495034,0.9960127784484162,1.003602126668506,0.9989140315496506
205,2004-09-13,GBPUSD=X,-0.7226395148277942,0.7278996050018138,Sell,0.9843620260902226,0.9840470721081505,0.989239633223962,0.9953453244110712,1.0030573798969986,0.9988028888962893
206,2004-09-14,GBPUSD=X,-0.8272958112343742,0.8341970888075201,Sell,0.9867259247696581,0.9836470014216556,0.9882778684167283,0.9947053147336801,1.0024420595401833,0.9986914905690976
207,2004-09-15,GBPUSD=X,0.16193771392580825,-0.1616758996699108,None,0.9854388052650781,0.982624267734209,0.9868836811034577,0.9937089158306062,1.0014864140600312,0.9986212114447774
208,2004-09-16,GBPUSD=X,-0.62390937118455,0.6278264391733179,Sell,0.9857373340819607,0.98261085703568,0.9856850813665212,0.993024072828752,1.0007279097371258,0.9986024363937667
209,2004-09-17,GBPUSD=X,0.19025624597470703,-0.18989495895450625,None,0.9847020420175729,0.9833583137741931,0.9848111519154341,0.9920176453809393,0.9998357662426581,0.9985528592093447
210,2004-09-20,GBPUSD=X,0.6655477196931381,-0.6611474677974072,Buy,0.9834408744748353,0.9836030101247365,0.9840832339352489,0.9909186622503375,0.9989007450262274,0.9985292015662617
211,2004-09-21,GBPUSD=X,-0.31162912627519246,0.31260328917395164,None,0.9832053862824793,0.9846799340409157,0.9840887025986402,0.990231470063473,0.998114673197432,0.9984181282237918
212,2004-09-22,GBPUSD=X,-0.03405958476294657,0.03407118926852526,None,0.9850305904938516,0.9849607483682123,0.9839437239297163,0.9894822795919576,0.9973543242312488,0.9983562647488251
213,2004-09-23,GBPUSD=X,-0.04488535046726083,0.0449055064612125,None,0.9854219680222701,0.9853335042058651,0.9839321769128961,0.9889480844607944,0.9966754226338913,0.9983007282217732
214,2004-09-24,GBPUSD=X,-0.016233667296261522,0.016236303043681843,None,0.986753620008865,0.9854884506819271,0.9842260833193663,0.9881477163241309,0.9958205459828673,0.9982780885034176
215,2004-09-27,GBPUSD=X,-0.7622568853727807,0.7681118709968127,Sell,0.9893495597849522,0.9861456276740673,0.9845484133525182,0.9874738608972534,0.9950702298990762,0.998337274924064
216,2004-09-28,GBPUSD=X,-0.539395499909856,0.5423207536501273,Sell,0.9910836442570233,0.9868855500018815,0.9847225142333323,0.9870853337072765,0.9945063939166502,0.9984947647144121
217,2004-09-29,GBPUSD=X,0.8881248229471783,-0.8803066015012018,Buy,0.9917188472126256,0.9881202933489525,0.984845450608011,0.9865904003847352,0.9940052341408347,0.9985813912013844
218,2004-09-30,GBPUSD=X,0.809572326704,-0.803070887038726,Buy,0.9932529719062122,0.9890687735457088,0.9853266530516751,0.9861266217822175,0.9935505205144246,0.9987671272051735
219,2004-10-01,GBPUSD=X,1.6774951628887758,-1.6498195202403476,Buy,0.992544285486505,0.989396980173319,0.985887609823363,0.9856854131433662,0.993104271356222,0.9989152024107603
220,2004-10-04,GBPUSD=X,3.221297620595509,-3.1207683829318267,Buy,0.9895213783498047,0.9892337548483752,0.9859683110944577,0.9851996860661055,0.9924514809958128,0.9989602997970367
221,2004-10-05,GBPUSD=X,2.972384503553749,-2.8865841243592483,Buy,0.986127210056915,0.9884640233909101,0.9861722089649022,0.9850144365730894,0.9919979778989803,0.9990353788086181
222,2004-10-06,GBPUSD=X,2.73118192556725,-2.658571501246909,Buy,0.9838655043029365,0.987697016455366,0.98598001293355,0.984730142435707,0.9915467263137023,0.9990466851162702
223,2004-10-07,GBPUSD=X,0.0,0.0,None,0.9805440451053425,0.9868578832546392,0.9857867420760162,0.9844960626700267,0.991162930149924,0.9990925103476676
224,2004-10-08,GBPUSD=X,2.38953477684698,-2.333768565366423,Buy,0.9801107813408287,0.9863217984009263,0.9856477836991416,0.9845819734132412,0.9908635191696579,0.9991190557286028
225,2004-10-11,GBPUSD=X,1.8913198542718002,-1.856212930578205,Buy,0.9817128883053414,0.9856363172368178,0.985709022139758,0.9846688404883522,0.99060559850926,0.9991808233152628
226,2004-10-12,GBPUSD=X,2.719185210330255,-2.647202861629383,Buy,0.9826923292950002,0.9844764381277364,0.9856068899474638,0.9845418999348792,0.9903165649244017,0.9991460391931314
227,2004-10-13,GBPUSD=X,3.028209383350511,-2.9392041281461667,Buy,0.9842761976692617,0.9841578422346663,0.98613160446598,0.9846063296958752,0.9900296667919959,0.9990945177658344
228,2004-10-14,GBPUSD=X,2.6035734099305152,-2.537507538386108,Buy,0.9859803631301701,0.9833947909087849,0.9863250566588448,0.9848065943770936,0.9898344053400034,0.9989784317533644
