time,high,low,open,volumefrom,volumeto,close
2014-03-29,0.04313,0.04112,0.04159,0.01106,0.000477,0.04313
2014-03-30,0.0404,0.0404,0.04313,1.204,0.04864,0.0404
2014-03-31,0.04019,0.04019,0.0404,0.0,0.0,0.04019
2014-04-01,0.04189,0.04189,0.04019,0.0,0.0,0.04189
2014-04-02,0.03836,0.03836,0.04189,0.0,0.0,0.03836
2014-04-03,0.03944,0.03944,0.03836,0.0,0.0,0.03944
2014-04-04,0.04017,0.04017,0.03944,0.0,0.0,0.04017
2014-04-05,0.04127,0.04127,0.04017,0.0,0.0,0.04127
2014-04-06,0.04119,0.04119,0.04127,0.0,0.0,0.04119
2014-04-07,0.04179,0.04179,0.04119,0.0,0.0,0.04179
2014-04-08,0.04217,0.04217,0.04179,0.0,0.0,0.04217
2014-04-09,0.04134,0.04134,0.04217,0.0,0.0,0.04134
2014-04-10,0.03477,0.03477,0.04134,0.0,0.0,0.03477
2014-04-11,0.03933,0.03933,0.03477,0.0,0.0,0.03933
2014-04-12,0.03956,0.03956,0.03933,0.0,0.0,0.03956
2014-04-13,0.03865,0.03865,0.03956,0.0,0.0,0.03865
2014-04-14,0.04324,0.04324,0.03865,0.0,0.0,0.04324
2014-04-15,0.04758,0.04758,0.04324,0.0,0.0,0.04758
2014-04-16,0.04853,0.04853,0.04758,0.0,0.0,0.04853
2014-04-17,0.04538,0.04538,0.04853,0.0,0.0,0.04538
2014-04-18,0.04389,0.04389,0.04538,0.0,0.0,0.04389
2014-04-19,0.04574,0.04574,0.04389,0.0,0.0,0.04574
2014-04-20,0.04506,0.04506,0.04574,0.0,0.0,0.04506
2014-04-21,0.04476,0.04476,0.04506,0.0,0.0,0.04476
2014-04-22,0.0441,0.0441,0.04476,0.0,0.0,0.0441
2014-04-23,0.04405,0.04405,0.0441,0.0,0.0,0.04405
2014-04-24,0.04522,0.04522,0.04405,0.0,0.0,0.04522
2014-04-25,0.04199,0.04199,0.04522,0.0,0.0,0.04199
2014-04-26,0.04139,0.04139,0.04199,0.0,0.0,0.04139
2014-04-27,0.04006,0.04006,0.04139,0.0,0.0,0.04006
2014-04-28,0.03995,0.03995,0.04006,0.0,0.0,0.03995
2014-04-29,0.04032,0.04032,0.03995,0.0,0.0,0.04032
2014-04-30,0.04028,0.04028,0.04032,0.0,0.0,0.04028
2014-05-01,0.04159,0.04159,0.04028,0.0,0.0,0.04159
2014-05-02,0.04101,0.04101,0.04159,0.0,0.0,0.04101
2014-05-03,0.03965,0.03965,0.04101,0.0,0.0,0.03965
2014-05-04,0.03941,0.03941,0.03965,0.0,0.0,0.03941
2014-05-05,0.03895,0.03895,0.03941,0.0,0.0,0.03895
2014-05-06,0.03907,0.03907,0.03895,0.0,0.0,0.03907
2014-05-07,0.04036,0.04036,0.03907,0.0,0.0,0.04036
2014-05-08,0.03987,0.03987,0.04036,0.0,0.0,0.03987
2014-05-09,0.04026,0.04026,0.03987,0.0,0.0,0.04026
2014-05-10,0.04085,0.04085,0.04026,0.0,0.0,0.04085
2014-05-11,0.03916,0.03916,0.04085,0.0,0.0,0.03916
2014-05-12,0.03961,0.03961,0.03916,0.0,0.0,0.03961
2014-05-13,0.03922,0.03922,0.03961,0.0,0.0,0.03922
2014-05-14,0.04001,0.04001,0.03922,0.0,0.0,0.04001
2014-05-15,0.0405,0.0405,0.04001,0.0,0.0,0.0405
2014-05-16,0.041,0.041,0.0405,0.0,0.0,0.041
2014-05-17,0.04093,0.04093,0.041,0.0,0.0,0.04093
2014-05-18,0.04069,0.04069,0.04093,0.0,0.0,0.04069
