time,high,low,open,volumefrom,volumeto,close
2014-12-02,0.03455,0.0322,0.03407,0.0,0.0,0.0322
2014-12-03,0.03393,0.03166,0.0322,0.0,0.0,0.03166
2014-12-04,0.03589,0.03073,0.03166,0.0,0.0,0.03237
2014-12-05,0.03399,0.03172,0.03237,0.0,0.0,0.03286
2014-12-06,0.03386,0.03172,0.03286,0.0,0.0,0.03173
2014-12-07,0.03384,0.02992,0.03173,0.0,0.0,0.03002
2014-12-08,0.03102,0.02884,0.03002,0.0,0.0,0.02902
2014-12-09,0.0317,0.028,0.02902,0.0,0.0,0.02874
2014-12-10,0.03279,0.02784,0.02874,0.0,0.0,0.03
2014-12-11,0.03266,0.02782,0.03,0.0,0.0,0.02782
2014-12-12,0.03073,0.02475,0.02782,0.0,0.0,0.02519
2014-12-13,0.02826,0.02439,0.02519,0.0,0.0,0.02773
2014-12-14,0.03493,0.02655,0.02773,0.0,0.0,0.03473
2014-12-15,0.03446,0.02947,0.03473,0.0,0.0,0.03427
2014-12-16,0.03293,0.02843,0.03427,0.0,0.0,0.02976
2014-12-17,0.03096,0.02801,0.02976,0.0,0.0,0.02897
2014-12-18,0.0291,0.02795,0.02897,0.0,0.0,0.02796
2014-12-19,0.0298,0.02734,0.02796,0.0,0.0,0.02736
2014-12-20,0.03097,0.02845,0.02736,0.0,0.0,0.02919
2014-12-21,0.02952,0.02663,0.02919,0.0,0.0,0.02952
2014-12-22,0.03027,0.02845,0.02952,0.0,0.0,0.02895
2014-12-23,0.03017,0.02783,0.02895,0.0,0.0,0.0285
2014-12-24,0.02901,0.02679,0.0285,0.0,0.0,0.02901
2014-12-25,0.02943,0.0265,0.02901,0.0,0.0,0.02728
2014-12-26,0.03044,0.02822,0.02728,0.0,0.0,0.02943
2014-12-27,0.02885,0.02621,0.02943,0.0,0.0,0.02885
2014-12-28,0.02944,0.02724,0.02885,0.0,0.0,0.02943
2014-12-29,0.02921,0.02649,0.02943,0.0,0.0,0.02766
2014-12-30,0.02801,0.02741,0.02766,0.0,0.0,0.02741
2014-12-31,0.02862,0.02801,0.02741,0.0,0.0,0.02801
2015-01-01,0.02832,0.02683,0.02801,0.0,0.0,0.02802
2015-01-02,0.02899,0.02685,0.02802,0.0,0.0,0.02808
2015-01-03,0.02804,0.02447,0.02808,0.0,0.0,0.02458
2015-01-04,0.02462,0.0225,0.02458,0.0,0.0,0.0225
2015-01-05,0.02417,0.0223,0.0225,0.0,0.0,0.02309
2015-01-06,0.02597,0.02371,0.02309,0.0,0.0,0.02512
2015-01-07,0.02704,0.02374,0.02512,0.0,0.0,0.02374
2015-01-08,0.02444,0.023,0.02374,0.0,0.0,0.02425
2015-01-09,0.0249,0.02337,0.02425,0.0,0.0,0.0234
2015-01-10,0.02221,0.0222,0.0234,0.0,0.0,0.0222
2015-01-11,0.02422,0.0215,0.0222,0.0,0.0,0.02304
2015-01-12,0.02454,0.02185,0.02304,0.0,0.0,0.02186
2015-01-13,0.01876,0.0177,0.02186,0.0,0.0,0.01771
2015-01-14,0.01398,0.01245,0.01771,0.0,0.0,0.01393
2015-01-15,0.01799,0.01587,0.01393,0.0,0.0,0.01587
2015-01-16,0.02037,0.01565,0.01587,0.0,0.0,0.01945
2015-01-17,0.01966,0.01752,0.01945,0.0,0.0,0.01752
2015-01-18,0.01849,0.0177,0.01752,0.0,0.0,0.01849
2015-01-19,0.02137,0.01854,0.01849,0.0,0.0,0.01948
2015-01-20,0.02124,0.019,0.01948,0.0,0.0,0.02105
2015-01-21,0.023,0.0213,0.02105,0.0,0.0,0.02226
2015-01-22,0.02287,0.02209,0.02226,0.0,0.0,0.02209
2015-01-23,0.02326,0.02204,0.02209,0.0,0.0,0.02275
2015-01-24,0.02432,0.0222,0.02275,0.0,0.0,0.0222
2015-01-25,0.0247,0.02255,0.0222,0.0,0.0,0.0247
2015-01-26,0.02637,0.02428,0.0247,0.0,0.0,0.02477
2015-01-27,0.02515,0.02238,0.02477,0.0,0.0,0.02397
2015-01-28,0.02361,0.02151,0.02397,0.0,0.0,0.02185
2015-01-29,0.02345,0.02165,0.02185,0.0,0.0,0.02223
2015-01-30,0.02335,0.02203,0.02223,0.0,0.0,0.02217
2015-01-31,0.03822,0.0201,0.02217,0.0,0.0,0.02266
2015-02-01,0.02749,0.02334,0.02266,0.0,0.0,0.0248
2015-02-02,0.0269,0.02601,0.0248,0.0,0.0,0.02625
2015-02-03,0.0257,0.02499,0.02625,0.0,0.0,0.0257
2015-02-04,0.02608,0.0256,0.0257,0.0,0.0,0.02608
2015-02-05,0.02492,0.02144,0.02608,0.0,0.0,0.02304
2015-02-06,0.02372,0.02096,0.02304,0.0,0.0,0.02125
2015-02-07,0.02548,0.02217,0.02319,19816.23,504.92,0.02548
2015-02-08,0.02505,0.02237,0.02548,40105.48,979.38,0.02442
2015-02-09,0.0243,0.01854,0.02442,77716.93,1799.92,0.02316
2015-02-10,0.02309,0.02193,0.02316,43694.29,1003.22,0.02296
2015-02-11,0.02291,0.02164,0.02296,42092.17,944.13,0.02243
2015-02-12,0.02267,0.01553,0.02243,29010.2,631.84,0.02178
2015-02-13,0.02345,0.02301,0.02178,17676.0,414.15,0.02343
2015-02-14,0.02646,0.02354,0.02343,18575.57,464.76,0.02502
2015-02-15,0.02379,0.01995,0.02502,5158.06,116.47,0.02258
2015-02-16,0.02479,0.01773,0.02258,10115.02,244.28,0.02415
2015-02-17,0.0249,0.01882,0.02415,8841.91,218.93,0.02476
2015-02-18,0.02394,0.02117,0.02476,1789.82,37.89,0.02117
2015-02-19,0.02322,0.01997,0.02117,3088.75,67.89,0.02198
2015-02-20,0.02431,0.01983,0.02198,7592.23,184.57,0.02431
2015-02-21,0.02429,0.02018,0.02431,4564.01,92.1,0.02018
2015-02-22,0.02475,0.01946,0.02018,6737.67,166.76,0.02475
2015-02-23,0.02508,0.0203,0.02475,11937.08,242.32,0.0203
2015-02-24,0.02269,0.0194,0.0203,1118.91,22.46,0.02007
