time,high,low,open,volumefrom,volumeto,close
2014-10-18,0.03909,0.03861,0.03758,1.923,0.07517,0.03909
2014-10-19,0.03873,0.03873,0.03909,0.0,0.0,0.03873
2014-10-20,0.03804,0.03613,0.03873,7.555,0.273,0.03614
2014-10-21,0.03632,0.03632,0.03614,0.0,0.0,0.03632
2014-10-22,0.036,0.036,0.03632,0.0,0.0,0.036
2014-10-23,0.0338,0.0338,0.036,0.0,0.0,0.0338
2014-10-24,0.03373,0.03373,0.0338,0.0,0.0,0.03373
2014-10-25,0.03294,0.02867,0.03373,49.9,1.431,0.02867
2014-10-26,0.02884,0.02884,0.02867,5.396,0.1556,0.02884
2014-10-27,0.02895,0.02895,0.02884,0.0,0.0,0.02895
2014-10-28,0.02903,0.02903,0.02895,0.0,0.0,0.02903
2014-10-29,0.02771,0.02771,0.02903,0.0,0.0,0.02771
2014-10-30,0.02852,0.02845,0.02771,0.1,0.002845,0.02845
2014-10-31,0.02787,0.02787,0.02845,0.0,0.0,0.02787
2014-11-01,0.02685,0.02685,0.02787,0.5644,0.01515,0.02685
2014-11-02,0.02661,0.02661,0.02685,0.0,0.0,0.02661
2014-11-03,0.02675,0.02675,0.02661,0.0,0.0,0.02675
2014-11-04,0.05674,0.02689,0.02675,49.42,1.329,0.02689
2014-11-05,0.02772,0.02772,0.02689,0.0,0.0,0.02772
2014-11-06,0.02851,0.02851,0.02772,0.0,0.0,0.02851
2014-11-07,0.05128,0.02803,0.02851,0.6634,0.03402,0.05128
2014-11-08,0.05153,0.02405,0.05128,0.816,0.01962,0.02405
2014-11-09,0.02534,0.02534,0.02405,0.4955,0.01256,0.02534
2014-11-10,0.0257,0.0257,0.02534,0.0005256,1.351e-05,0.0257
2014-11-11,0.02558,0.02558,0.0257,0.0,0.0,0.02558
2014-11-12,0.03024,0.02722,0.02558,14.0,0.3811,0.02722
2014-11-13,0.02701,0.02701,0.02722,213.0,5.753,0.02701
2014-11-14,0.02498,0.02498,0.02701,0.0,0.0,0.02498
2014-11-15,0.06485,0.02362,0.02498,88.96,5.769,0.06485
