time,high,low,open,volumefrom,volumeto,close
2013-12-25,4.878,4.19,4.568,6282.78,27097.63,4.313
2013-12-26,5.608,4.89,4.313,34469.67,185446.82,5.38
2013-12-27,5.948,5.019,5.38,106649.62,634351.94,5.948
2013-12-28,5.644,4.832,5.948,3177.82,15723.85,4.948
2013-12-29,5.401,5.098,4.948,483.63,2612.09,5.401
2013-12-30,5.703,5.537,5.401,38878.4,221723.52,5.703
2013-12-31,5.97,5.258,5.703,31876.63,183928.16,5.77
2014-01-01,6.044,5.363,5.77,2422.35,14640.68,6.044
2014-01-02,9.64,5.713,6.044,22935.25,190798.34,8.319
2014-01-03,10.52,7.446,8.319,355.49,2757.54,7.757
2014-01-04,12.33,8.111,7.757,37.12,319.12,8.597
2014-01-05,9.434,8.456,8.597,186.23,1574.76,8.456
2014-01-06,8.883,8.21,8.456,355.45,3022.39,8.503
2014-01-07,7.857,6.348,8.503,471.9,3244.31,6.875
2014-01-08,8.458,7.155,6.875,57.26,409.7,7.155
2014-01-09,7.71,7.14,7.155,104.35,782.42,7.498
2014-01-10,8.329,7.299,7.498,214.78,1593.88,7.421
2014-01-11,7.936,7.662,7.421,70.33,538.87,7.662
2014-01-12,7.357,6.898,7.662,45.31,324.51,7.162
2014-01-13,7.278,6.747,7.162,43.83,295.72,6.747
2014-01-14,7.148,6.566,6.747,105.06,731.64,6.964
2014-01-15,7.131,6.757,6.964,104.61,706.85,6.757
2014-01-16,7.019,6.558,6.757,1.822,12.79,7.019
2014-01-17,6.871,6.268,7.019,302.4,1908.45,6.311
2014-01-18,6.791,6.393,6.311,2.945,20.0,6.791
2014-01-19,7.179,6.82,6.791,24.07,172.8,7.179
2014-01-20,7.469,6.803,7.179,744.74,5324.15,7.149
2014-01-21,7.195,6.947,7.149,73.04,507.41,6.947
2014-01-22,7.044,6.344,6.947,192.82,1358.22,7.044
2014-01-23,6.993,6.131,7.044,56.81,348.3,6.131
2014-01-24,6.277,5.455,6.131,474.43,2727.97,5.75
2014-01-25,6.748,5.825,5.75,145.73,848.88,5.825
2014-01-26,7.416,6.103,5.825,44.88,301.32,6.714
2014-01-27,6.632,5.863,6.714,218.78,1367.16,6.249
2014-01-28,6.302,5.94,6.249,56.54,349.25,6.177
2014-01-29,6.159,5.896,6.177,164.1,1006.1,6.131
2014-01-30,6.235,5.996,6.131,164.37,1007.26,6.128
2014-01-31,6.421,6.018,6.128,105.01,674.27,6.421
2014-02-01,6.669,6.311,6.421,89.78,566.6,6.311
2014-02-02,6.597,6.276,6.311,100.5,643.0,6.398
2014-02-03,6.324,6.253,6.398,15.15,95.81,6.324
2014-02-04,6.29,6.213,6.324,16.77,104.29,6.219
2014-02-05,6.07,6.07,6.219,0.0,0.0,6.07
2014-02-06,5.563,5.281,6.07,31.98,168.89,5.281
2014-02-07,4.521,4.16,5.281,119.13,495.58,4.16
2014-02-08,4.123,3.88,4.16,20.99,81.84,3.899
2014-02-09,4.212,3.964,3.899,24.18,96.07,3.973
2014-02-10,3.771,3.484,3.973,250.65,873.26,3.484
2014-02-11,3.965,3.462,3.484,219.98,821.63,3.735
2014-02-12,3.427,3.218,3.735,54.76,181.8,3.32
2014-02-13,2.875,2.7,3.32,442.47,1196.0,2.703
2014-02-14,2.674,2.504,2.703,287.27,768.16,2.674
2014-02-15,2.32,2.183,2.674,48.6,106.09,2.183
2014-02-16,1.908,1.713,2.183,551.56,1047.41,1.899
2014-02-17,1.815,1.725,1.899,544.86,939.88,1.725
2014-02-18,1.96,1.749,1.725,158.79,290.9,1.832
2014-02-19,1.63,1.557,1.832,359.73,560.1,1.557
2014-02-20,0.6973,0.6661,1.557,282.88,188.43,0.6661
2014-02-21,0.7292,0.6233,0.6661,298.95,200.03,0.6691
2014-02-22,1.533,1.466,0.6691,135.02,200.23,1.483
2014-02-23,1.885,1.786,1.483,120.04,223.99,1.866
2014-02-24,1.067,1.001,1.866,178.11,178.29,1.001
2014-02-25,0.8274,0.7764,1.001,469.6,380.66,0.8106
2014-02-26,3.654,3.313,0.8106,839.84,2930.2,3.489
2014-02-27,3.618,3.332,3.489,27.19,90.6,3.332
2014-02-28,3.536,3.206,3.332,8.225,29.08,3.536
2014-03-01,3.434,3.116,3.536,203.5,690.88,3.395
2014-03-02,3.317,3.203,3.395,24.16,77.38,3.203
2014-03-03,4.006,3.561,3.203,425.48,1534.71,3.607
2014-03-04,3.874,3.536,3.607,776.12,2988.84,3.851
2014-03-05,3.86,3.659,3.851,260.15,965.94,3.713
2014-03-06,3.677,3.562,3.713,218.89,779.69,3.562
2014-03-07,3.607,3.246,3.562,104.74,377.8,3.607
2014-03-08,3.563,3.542,3.607,42.73,151.35,3.542
2014-03-09,3.667,3.3,3.542,51.71,171.06,3.308
2014-03-10,3.395,3.233,3.308,51.57,173.69,3.368
2014-03-11,3.345,3.229,3.368,58.99,193.19,3.275
2014-03-12,3.385,3.188,3.275,185.16,619.92,3.348
2014-03-13,3.415,3.29,3.348,52.24,177.88,3.405
2014-03-14,3.345,3.262,3.405,15.55,50.79,3.266
2014-03-15,3.41,3.275,3.266,123.05,418.99,3.405
2014-03-16,3.383,3.249,3.405,83.73,272.46,3.254
2014-03-17,3.241,3.182,3.254,108.53,351.75,3.241
2014-03-18,3.201,3.024,3.241,686.12,2074.83,3.024
2014-03-19,3.019,2.987,3.024,139.85,420.95,3.01
2014-03-20,2.915,2.754,3.01,50.59,139.32,2.754
2014-03-21,2.916,2.619,2.754,129.06,338.01,2.619
2014-03-22,2.781,2.656,2.619,116.29,308.87,2.656
2014-03-23,2.816,2.594,2.656,204.71,576.46,2.816
2014-03-24,2.938,2.725,2.816,43.69,119.06,2.725
2014-03-25,2.833,2.703,2.725,175.17,474.01,2.706
2014-03-26,2.759,2.704,2.706,142.4,392.88,2.759
2014-03-27,2.259,2.113,2.759,406.07,892.54,2.198
2014-03-28,2.356,2.143,2.198,675.76,1577.22,2.334
2014-03-29,2.345,2.308,2.334,43.18,101.26,2.345
2014-03-30,2.235,2.088,2.345,96.64,201.78,2.088
2014-03-31,2.21,2.078,2.088,28.17,62.26,2.21
2014-04-01,2.303,2.226,2.21,128.49,294.63,2.293
2014-04-02,2.099,1.914,2.293,143.73,275.1,1.914
2014-04-03,1.968,1.848,1.914,31.22,57.69,1.848
2014-04-04,1.967,1.882,1.848,24.66,46.73,1.895
2014-04-05,1.989,1.919,1.895,24.93,47.84,1.919
2014-04-06,1.982,1.915,1.919,1489.99,2951.67,1.981
2014-04-07,2.01,1.954,1.981,7.25,14.23,1.963
2014-04-08,2.028,1.944,1.963,144.98,294.02,2.028
2014-04-09,1.988,1.865,2.028,7.367,14.29,1.94
2014-04-10,1.636,1.452,1.94,295.37,428.88,1.452
2014-04-11,1.85,1.642,1.452,152.8,263.27,1.723
2014-04-12,1.973,1.733,1.723,601.7,1125.78,1.871
2014-04-13,1.845,1.702,1.871,201.34,346.1,1.719
2014-04-14,2.137,1.923,1.719,66.03,140.78,2.132
2014-04-15,3.434,2.346,2.132,2504.58,8240.07,3.29
2014-04-16,3.356,2.753,3.29,10253.41,29632.35,2.89
2014-04-17,2.828,2.682,2.89,20296.17,57397.57,2.828
2014-04-18,2.735,2.634,2.828,4485.39,11814.52,2.634
2014-04-19,2.746,2.704,2.634,32.33,87.42,2.704
2014-04-20,2.746,2.62,2.704,15750.29,41265.76,2.62
2014-04-21,2.646,2.602,2.62,97.07,256.85,2.646
2014-04-22,2.607,2.267,2.646,14247.28,34492.66,2.421
2014-04-23,2.495,2.417,2.421,32.55,81.21,2.495
2014-04-24,2.582,2.561,2.495,19463.17,50253.9,2.582
2014-04-25,2.397,2.282,2.582,192514.39,447018.41,2.322
2014-04-26,2.289,2.265,2.322,20.2,45.75,2.265
2014-04-27,2.192,2.059,2.265,36227.26,74591.93,2.059
2014-04-28,2.164,2.036,2.059,4866.11,10389.14,2.135
2014-04-29,2.155,2.131,2.135,247.91,528.3,2.131
2014-04-30,2.233,1.929,2.131,9230.53,19864.1,2.152
2014-05-01,2.319,2.222,2.152,5048.71,11637.28,2.305
2014-05-02,2.273,2.164,2.305,4238.65,9303.84,2.195
2014-05-03,2.123,2.052,2.195,197.55,414.66,2.099
2014-05-04,2.086,2.026,2.099,10769.63,21819.27,2.026
2014-05-05,2.088,2.002,2.026,983.54,2008.39,2.042
2014-05-06,2.095,2.021,2.042,44568.71,90073.36,2.021
2014-05-07,2.139,2.088,2.021,47667.52,100292.46,2.104
2014-05-08,2.099,2.026,2.104,20588.45,41712.2,2.026
2014-05-09,2.137,2.046,2.026,30941.73,64111.26,2.072
2014-05-10,2.144,2.102,2.072,3383.27,7189.45,2.125
2014-05-11,2.068,2.037,2.125,36472.87,74295.24,2.037
2014-05-12,2.128,2.039,2.037,4259.86,9064.98,2.128
2014-05-13,2.107,2.107,2.128,0.0,0.0,2.107
2014-05-14,2.149,2.077,2.107,439.56,912.97,2.077
2014-05-15,2.103,2.083,2.077,272.87,573.85,2.103
2014-05-16,2.129,2.052,2.103,419.3,875.5,2.088
2014-05-17,2.086,2.036,2.088,4977.52,10134.23,2.036
2014-05-18,2.056,2.024,2.036,2408.64,4942.53,2.052
2014-05-19,2.023,1.986,2.052,6607.08,13187.73,1.996
2014-05-20,2.226,2.169,1.996,45645.81,100968.53,2.212
2014-05-21,2.263,2.196,2.212,6121.68,13443.21,2.196
2014-05-22,2.382,2.269,2.196,9523.69,21961.63,2.306
2014-05-23,2.585,2.283,2.306,10020.92,24631.42,2.458
2014-05-24,2.529,2.387,2.458,10089.87,25517.28,2.529
2014-05-25,2.772,2.683,2.529,34520.27,93101.17,2.697
2014-05-26,2.764,2.632,2.697,45711.48,123512.42,2.702
2014-05-27,2.647,2.556,2.702,798.24,2056.27,2.576
2014-05-28,2.579,2.459,2.576,211.99,521.28,2.459
2014-05-29,2.456,2.314,2.459,72026.99,168975.32,2.346
2014-05-30,2.599,2.483,2.346,27548.59,71047.81,2.579
2014-05-31,2.644,2.397,2.579,31320.7,75075.72,2.397
2014-06-01,3.504,2.198,2.397,70301.81,165912.27,2.36
2014-06-02,2.511,2.343,2.36,1117.68,2618.72,2.343
2014-06-03,2.411,2.268,2.343,979.13,2343.06,2.393
2014-06-04,2.556,2.184,2.393,121.37,273.33,2.252
2014-06-05,2.327,2.047,2.252,453.17,930.81,2.054
2014-06-06,2.036,1.99,2.054,206.53,415.13,2.01
2014-06-07,2.172,1.939,2.01,323.21,637.05,1.971
2014-06-08,2.594,1.969,1.971,592.61,1224.33,2.066
2014-06-09,2.048,1.963,2.066,689.42,1387.8,2.013
2014-06-10,2.081,1.993,2.013,246.86,491.99,1.993
2014-06-11,1.994,1.955,1.993,1128.56,2224.39,1.971
2014-06-12,1.877,1.812,1.971,859.13,1612.59,1.877
2014-06-13,1.962,1.871,1.877,367.18,700.21,1.907
2014-06-14,1.883,1.823,1.907,762.8,1410.42,1.849
2014-06-15,1.876,1.842,1.849,187.02,344.49,1.842
2014-06-16,1.895,1.845,1.842,34.68,63.98,1.845
2014-06-17,1.874,1.827,1.845,126.02,232.63,1.846
2014-06-18,1.849,1.8,1.846,354.5,640.58,1.807
2014-06-19,1.81,1.774,1.807,214.94,389.04,1.81
2014-06-20,1.781,1.716,1.81,297.88,511.16,1.716
2014-06-21,1.896,1.734,1.716,689.15,1209.46,1.755
2014-06-22,1.799,1.775,1.755,183.34,326.53,1.781
2014-06-23,1.774,1.732,1.781,225.97,397.26,1.758
2014-06-24,1.772,1.732,1.758,119.62,211.97,1.772
2014-06-25,1.717,1.67,1.772,668.79,1116.88,1.67
2014-06-26,1.728,1.701,1.67,249.65,424.65,1.701
2014-06-27,1.798,1.752,1.701,1156.77,2045.17,1.768
2014-06-28,1.754,1.705,1.768,782.14,1342.93,1.717
